TERM,SUBJECT,CATALOG_NBR,CLASS_SECTION,CLASS_NUMBER,COURSE_DESCR,INSTR_LAST_NAME,INSTR_FIRST_NAME,A,B,C,D,F,SASTISFACTORY,TOTAL_DROPPED,AVG_GPA
Fall 2022,MUED,3101,01,11055,Woodwinds,Bell,Priscilla Garrett,11,2,3,0,0,0,1,3.438
Spring 2023,INDS,2356,01,11056,Design History II,Ramirez,Enrique,14,7,3,0,0,0,0,3.486
Spring 2024,LAW,5104,01,11056,Houston Business/Tax Journal,Wells,Douglas,0,0,0,0,0,3,0,
Fall 2022,MUED,3104,01,11056,Strings,Hansen,Erin Melissa,7,8,4,0,1,0,0,3.000
Summer 2023,PHYS,1101,04,11056,College Physics I (lab),Wood,Lowell T,1,8,6,0,0,0,0,2.689
Spring 2023,INDS,2501,01,11057,Industrial Design Studio IV,Kimbrough,Mark S,10,3,2,0,0,0,0,3.511
Spring 2024,LAW,5110,01,11057,Law Review,Sanders,Joseph,0,0,0,0,0,8,0,
Summer 2022,MATH,1324,01,11057,Finite Math with Applications,Almus,Melahat,24,18,24,6,22,0,14,2.093
Fall 2022,MUSI,3215,01,11057,Introduction To Large Forms,Lee,Ji Yeon,8,5,0,2,2,0,0,2.921
Summer 2023,PHYS,1102,04,11057,College Physics II (lab),Wood,Lowell T,2,10,4,0,0,0,0,2.793
Spring 2024,LAW,5147,01,11058,Houston Journal of Int'l Law,Trujillo,Elizabeth I,0,0,0,0,0,5,0,
Summer 2022,MATH,1325,01,11058,Calc for Bus & Social Sciences,Constante,Beatrice,14,20,4,4,4,0,4,2.725
Fall 2022,MUSI,3215,02,11058,Introduction To Large Forms,Garza,Paul Victor,12,3,0,0,1,0,2,3.459
Fall 2023,SPAN,8399,01,11058,Dissertation,Gutierrez,Manuel J,1,0,0,0,0,0,0,4.000
Spring 2023,INDS,3501,01,11059,Industrial Design Studio VI,Chow,George K,7,8,1,0,0,0,0,3.334
Spring 2024,LAW,5198,01,11059,Special Rsch & Writing,Vetter,Greg R,2,1,0,0,0,0,0,3.667
Summer 2022,MATH,2312,01,11059,Precalculus,Almus,Melahat,28,14,18,4,24,0,22,2.160
Fall 2022,MUSI,3215,03,11059,Introduction To Large Forms,Koozin,Timothy,7,6,1,0,1,0,1,3.156
Spring 2024,LAW,5210,01,11060,Law Review,Sanders,Joseph,0,0,0,0,0,12,0,
Summer 2022,MATH,2413,01,11060,Calculus I,Perepelitsa,Irina,24,56,22,14,48,0,32,1.947
Fall 2022,MUSI,1307,01,11060,Listening to Classical Music,Diehl,Alaina B,35,0,1,1,0,0,3,3.829
Spring 2023,INDS,4365,01,11061,Design Practice and Business,McCormick,Kelly,4,0,0,0,0,0,0,3.835
Spring 2024,LAW,5247,01,11061,Houston Journal of Int'l Law,Trujillo,Elizabeth I,0,0,0,0,0,8,0,
Fall 2022,MUSI,1307,02,11061,Listening to Classical Music,Diehl,Alaina B,24,10,2,1,0,0,2,3.478
Fall 2023,SPAN,8399,04,11061,Dissertation,De Los Reyes Heredia,Jose Guillermo,1,0,0,0,0,1,0,4.000
Spring 2023,INDS,4501,01,11062,Industrial Design Studio VIII,Feng,Jeff Feng,5,2,0,0,0,0,0,3.714
Spring 2024,LAW,5298,01,11062,Special Rsch & Writing,Vetter,Greg R,1,0,0,0,0,0,0,3.670
Summer 2022,MATH,2414,01,11062,Calculus II,Xhabli,Blerina,31,15,13,4,23,0,10,2.295
Fall 2022,MUSI,3301,01,11062,Listening To World Music,Diehl,Alaina B,27,6,0,1,1,0,0,3.610
Fall 2023,SPAN,8399,06,11062,Dissertation,Solino,Maria Elena,0,0,0,0,0,1,0,
Spring 2024,LAW,5303,01,11063,Criminal Law,Thompson,Sandra Guerra,28,49,0,0,0,0,0,3.376
Fall 2022,MUSI,3363,01,11063,History of Music II,Bertagnolli,Paul A,15,18,18,8,8,0,1,2.343
Fall 2023,SPAN,8699,01,11063,Dissertation,Solino,Maria Elena,0,0,0,0,0,1,0,
Spring 2023,ITAL,2312,01,11064,Intermediate Italian II,Nicosia,Alda,11,8,1,1,2,0,0,3.015
Spring 2024,LAW,5303,02,11064,Criminal Law,Kwok,David Y,30,47,2,0,0,0,0,3.371
Fall 2022,MUSI,4102,01,11064,Acting for Opera,Edelson,Lawrence Michael,18,3,0,0,0,0,0,3.716
Spring 2023,ITEC,1301,01,11065,Intro To Computer Appl Tech,Roberts,Phyllis Rayburn,14,16,4,5,7,0,3,2.551
Spring 2024,LAW,5303,04,11065,Criminal Law,Ten Cate,Irene,29,43,2,0,0,0,1,3.392
Summer 2022,MATH,6298,03,11065,Special Problems,Timofeyev,Ilya,0,0,0,0,0,4,0,
Fall 2022,MUSI,4120,01,11065,Percussion Ensemble,Wilkins,Blake M,12,0,0,0,0,0,0,4.000
Spring 2023,KIN,1304,01,11066,Public Hlt Issues in Phys/Obes,Graham,Marilynn Hadassah,263,19,6,5,3,0,2,3.819
Spring 2024,LAW,5322,02,11066,Pretrial Litigation,Goranson,Mark D,1,12,0,0,0,1,0,3.356
Fall 2022,MUSI,4220,01,11066,Choral Conducting I,Weber,Mary E,17,5,0,0,0,0,0,3.758
Spring 2023,KIN,3304,01,11067,Human Structure & Phys Perform,Breslin,Whitney L,24,41,39,10,2,0,1,2.601
Fall 2022,MUSI,4230,01,11067,Instrumental Conducting I,Bertman,David Garry,21,2,0,0,0,0,1,3.913
Fall 2023,THEA,1332,01,11067,Fundamentals of Theatre,Bush,Rachel R,20,12,5,0,0,0,1,3.254
Fall 2023,DRAM,1330,01,11068,Scenic Technology,Ramos,Emili,16,5,1,0,0,0,0,3.607
Spring 2023,KIN,3305,01,11068,Sport Sociology,Graham,Marilynn Hadassah,169,35,8,1,5,0,4,3.624
Spring 2024,LAW,5339,01,11068,Trusts and Wills,Sanders,Pannal Alan,9,11,1,0,0,17,0,3.381
Fall 2022,MUED,4344,01,11068,MS/JS/HS Inst Admin&Ens Tech,Meals,Cory Dewitt,24,6,1,0,0,0,0,3.678
Spring 2023,KIN,3350,01,11069,Psych Aspects Sport Exercise,Gray,Jon Phillip,203,30,8,2,2,0,4,3.719
Spring 2024,LAW,5381,01,11069,Legal Negotiation,Abbott,Jeanna L,18,24,0,0,0,4,0,3.374
Fall 2022,MUSI,6104,01,11069,New Music Ensemble,Smith,Robert Thomas,8,0,0,0,0,0,0,4.000
Spring 2023,KIN,4310,01,11070,Measurement Tech Human Perf,Thrasher,Timothy Adam,19,42,27,15,8,0,6,2.456
Spring 2024,LAW,5386,01,11070,Trial Advocacy,Baldassano,Steven L,15,16,0,0,0,8,1,3.399
Fall 2022,MUSI,8300,01,11070,Doct Research Seminar,Pollack,Howard J,3,0,0,0,0,0,0,3.780
Fall 2023,THEA,2373,01,11070,Costume Technology,Niederer,Barbara,7,9,1,1,0,0,1,3.186
Fall 2022,GOVT,2306,02,11071,US and Texas Const/Politics,Cole,Jeffrey Bryan,83,95,19,19,21,0,8,2.813
Spring 2023,KIN,4350,01,11071,Sport Marketing,Lee,Dong Hun,13,13,6,2,0,0,0,3.088
Spring 2024,LAW,5398,02,11071,Special Research and Writing,Vetter,Greg R,2,2,0,0,0,0,0,3.665
Spring 2023,KIN,4355,01,11072,Adm of Sport & Phys Activity,Walsh,David W,14,33,9,1,0,0,1,3.087
Spring 2024,LAW,5400,01,11072,Govt Nonprofit Extshp I,Powers,William,0,0,0,0,0,1,0,
Summer 2022,MATH,6398,05,11072,Special Problems,Azencott,Robert Guy,0,0,0,0,0,2,0,
Fall 2022,POLS,4390,01,11072,Government Internship,Cross,Renee D,30,0,0,0,1,0,1,3.860
Fall 2023,THEA,3335,01,11072,History of the Theatre I,Romero,Gregory John,21,2,0,0,0,0,0,3.913
Spring 2023,KIN,4365,01,11073,Legal/Ethical Aspects of Sport,Ogunrinde,Joyce,3,20,13,4,3,0,3,2.403
Fall 2022,PSYC,2305,01,11073,Intro to Methods in Psychology,Ravey,Eriksen,16,11,7,1,4,0,1,2.897
Fall 2023,THEA,6301,01,11073,Acting,Young,John M,0,8,0,0,0,0,0,3.083
Spring 2023,KIN,4390,01,11074,Internship in PE,Betts,Randi Jill,3,0,1,0,0,0,0,3.500
Spring 2024,LAW,5407,01,11074,Judicial Externship I,Powers,William,0,0,0,0,0,2,0,
Fall 2023,VIET,2301,01,11074,Intermediate Vietnamese I,Dang,Thong Q,18,0,0,0,0,0,0,4.000
Fall 2024,ARTS,2316,03,11075,Fundamentals of Painting,Siddiq,Sajeela,12,5,0,0,0,0,1,3.667
Spring 2023,LAW,5103,01,11075,Health Law Journal,Mantel,Jessica,0,0,0,0,0,8,0,
Spring 2024,LAW,5408,01,11075,Property,Warren,Gina S,34,40,4,0,0,0,0,3.402
Fall 2022,PSYC,4344,01,11075,Cultural Psychology,Agan,Herb W,43,0,0,0,0,0,0,4.000
Fall 2023,WGSS,2350,03,11075,Intro To Women's Studies,Fernandes,Bridget Yvonne Diggs,25,3,0,0,0,0,1,3.858
Spring 2023,LAW,5104,01,11076,Houston Business/Tax Journal,Wells,Douglas,0,0,0,0,0,6,0,
Spring 2024,LAW,5408,2,11076,Property,Zale,Kellen B,20,54,3,0,0,0,0,3.216
Summer 2022,MATH,6498,01,11076,Special Problems,Mang,Andreas,0,0,0,0,0,1,0,
Fall 2023,MUSI,8106,02,11076,Doctoral Large Ensemble,Marmolejo,Noe J,1,0,0,0,0,0,0,4.000
Fall 2022,PSYC,3310,02,11076,Indstrl-Orgnztnl Psy,Zamanipour,Tina,42,4,6,2,1,0,0,3.527
Spring 2023,LAW,5110,01,11077,Law Review,Sanders,Joseph,0,0,0,0,0,3,0,
Spring 2024,LAW,5410,01,11077,Law Review,Sanders,Joseph,0,0,0,0,0,13,0,
Summer 2022,MATH,6498,04,11077,Special Problems,Timofeyev,Ilya,0,0,0,0,0,4,0,
Fall 2022,PSYC,2316,01,11077,Psychology of Personality,Fetterman,Adam Kent,23,13,5,3,1,0,0,3.266
Fall 2023,COMM,3361,01,11078,Advertising Copywriting,Tinnel,Jason Wayne,13,15,3,0,1,0,0,3.167
Spring 2023,LAW,5147,01,11078,Houston Journal of Int'l Law,Berman,Emily,0,0,0,0,0,9,1,
Spring 2024,LAW,5414,01,11078,Immigration Clinic II,Cabot,Jessica Anna,1,2,0,0,0,0,0,3.333
Summer 2022,MATH,6498,06,11078,Special Problems,Fitzgibbon,William E,0,0,0,0,0,10,0,
Fall 2022,PSYC,2330,01,11078,Biological Psychology,Leasure,Jennifer Leigh,12,16,7,3,4,0,7,2.690
Spring 2023,LAW,5198,01,11079,Special Rsch & Writing,Vetter,Greg R,5,1,0,0,0,1,0,3.778
Summer 2024,PHAR,5644,1,11079,Amb C-Medication Therapy Mgmt,Tolleson,Shane Russell,9,0,0,0,0,0,0,4.000
Fall 2022,PSYC,6317,01,11079,Psychopathology I,Alfano,Candice A,11,5,0,0,0,0,0,3.564
Summer 2024,CHEM,1111,14,11080,Fundamentals of Chm Lab,Zaitsev,Vladimir G,3,12,1,1,0,0,1,3.019
Spring 2023,LAW,5210,01,11080,Law Review,Sanders,Joseph,0,0,0,0,0,12,0,
Spring 2024,LAW,5421,01,11080,Business Organizations,Moll,Douglas Keith,17,32,0,0,0,11,0,3.394
Fall 2024,MUSI,2181,03,11080,Group Piano III,Van Kekerix,Todd Evan,12,2,0,0,0,0,0,3.692
Fall 2022,SOCI,1301,3,11080,Introduction To Sociology,Nelson,Steven M,29,20,4,3,3,0,1,3.130
Fall 2023,SPAN,3305,01,11080,Spanish Grammar Review,Gutierrez,Manuel J,6,6,2,2,1,0,0,2.746
Spring 2023,LAW,5247,01,11081,Houston Journal of Int'l Law,Berman,Emily,0,0,0,0,0,19,0,
Spring 2024,LAW,5488,01,11081,Constitutional Law,Portuondo,Laura,38,40,1,0,0,0,0,3.402
Summer 2022,MATH,8399,01,11081,Doctoral Dissertation,Haynes,Alan K,1,0,0,0,0,0,0,4.000
Fall 2024,MUSI,3303,01,11081,Pop Music of Americas Sn 1840,Garza,Paul Victor,55,13,3,6,0,0,2,3.498
Fall 2023,VIET,1501,01,11081,Elementary Vietnamese I,Dang,Thong Q,23,2,1,0,0,0,2,3.833
Spring 2023,LAW,5298,01,11082,Special Rsch & Writing,Vetter,Greg R,4,0,0,0,0,0,0,3.835
Spring 2024,LAW,5488,2,11082,Constitutional Law,Morales,Daniel I,25,44,4,1,0,0,1,3.252
Fall 2022,SOCI,1301,1,11082,Introduction To Sociology,Nelson,Steven M,33,15,5,4,2,0,0,3.215
Fall 2024,GERM,1501,01,11083,Beginning German I,Bandmann,Tanya,6,4,3,3,0,0,5,2.854
Spring 2023,LAW,5303,01,11083,Criminal Law,Thompson,Sandra Guerra,27,38,3,0,0,0,0,3.324
Spring 2024,LAW,5488,3,11083,Constitutional Law,Berman,Emily,14,64,0,0,0,0,0,3.277
Summer 2022,MATH,8699,02,11083,Doctoral Dissertation,Josic,Kresimir,1,0,0,0,0,0,0,4.000
Fall 2023,PSYC,2305,03,11083,Intro to Methods in Psychology,Foss,Donald J,12,9,6,4,9,0,3,2.283
Fall 2022,SOCI,1301,05,11083,Introduction To Sociology,Dorsey,Patricia Lynne,19,20,8,6,5,0,0,2.662
Spring 2023,LAW,5303,02,11084,Criminal Law,Kwok,David Y,32,35,2,0,0,0,1,3.397
Spring 2024,LAW,6209,02,11084,Health Law Journal,Mantel,Jessica,0,0,0,0,0,9,0,
Fall 2022,SOC,3400,01,11084,Intro To Social Statistics,Hwang,Hyunseok,15,12,7,2,1,0,2,2.956
Fall 2023,ENGL,1301,101,11085,First Year Writing I,Stewart-Steele,Heather Marie,10,3,9,2,4,0,2,2.394
Fall 2024,GERM,1501,03,11085,Beginning German I,Bandmann,Tanya,6,3,3,1,1,0,2,2.834
Spring 2023,LAW,5303,04,11085,Criminal Law,Crump,David L,29,41,2,0,0,0,0,3.370
Spring 2024,LAW,6211,01,11085,Houston Buiness/Tax Journal,Wells,Douglas,0,0,0,0,0,17,0,
Fall 2023,ENGL,1301,103,11086,First Year Writing I,Krajniak,Matthew J,14,6,2,0,4,0,4,2.911
Spring 2023,LAW,5322,02,11086,Pretrial Litigation,Goranson,Mark D,3,16,0,0,0,3,0,3.401
Spring 2024,LAW,6300,01,11086,Govt Nonprofit Extshp I,Powers,William,0,0,0,0,0,6,0,
Fall 2024,FREN,1502,03,11087,Elementary French II,Green,Viola V,1,4,3,0,0,0,3,2.791
Fall 2022,SOC,6300,01,11087,Sem-Sociological Theory,Lee,Shayne,9,0,0,0,0,0,0,4.000
Spring 2023,LAW,5339,01,11088,Trusts and Wills,Sanders,Pannal Alan,5,10,0,0,0,2,0,3.333
Fall 2022,SOC,6304,01,11088,Social Statistics,Anderson,Kathryn,5,4,0,0,0,0,0,3.519
Fall 2024,CHIN,1501,05,11089,Elementary Chinese I,Wang,Wei,6,3,2,1,0,0,4,3.084
Spring 2024,LAW,6318,01,11089,Houston Business/Tax Journal,Wells,Douglas,0,0,0,0,0,14,0,
Spring 2023,LAW,5381,01,11090,Legal Negotiation,Abbott,Jeanna L,17,26,0,0,0,3,0,3.380
Spring 2024,LAW,6354,01,11090,Houston Journal of Int'l Law,Trujillo,Elizabeth I,0,0,0,0,0,17,0,
Fall 2022,SOC,7399,04,11090,Masters Thesis,Monserud,Maria Aleksandrovna,0,0,0,0,0,1,0,
Spring 2023,LAW,5386,01,11091,Trial Advocacy,Baldassano,Steven L,9,15,0,0,0,4,0,3.403
Spring 2024,LAW,6355,01,11091,Govt Nonprofit Extshp II,Powers,William,0,0,0,0,0,3,0,
Fall 2022,SPAN,1501,01,11091,Elementary Spanish I,Perez Vigil De Mostaccero,Sylvia Rossana,6,8,6,0,0,0,3,2.918
Fall 2024,AFSC,4301,03,11092,National Security Affairs I,Curiel,Ernesto F,5,0,0,0,0,0,0,3.868
Summer 2022,GEOL,1340,01,11092,Earth Systems,Lytwyn,Jennifer N,26,52,44,16,14,0,10,2.414
Spring 2023,LAW,5398,02,11092,Special Research and Writing,Vetter,Greg R,5,1,0,0,0,0,0,3.723
Spring 2024,LAW,6356,01,11092,Law Review,Sanders,Joseph,0,0,0,0,0,20,0,
Spring 2023,LAW,5400,01,11093,Govt Nonprofit Extshp I,Powers,William,0,0,0,0,0,1,0,
Spring 2024,LAW,6358,01,11093,Health Law Journal,Mantel,Jessica,0,0,0,0,0,17,0,
Summer 2022,OPTO,6251,01,11093,Spanish for Optometrists,Cruz Wiley,Maria Cristina,0,0,0,0,0,13,0,
Fall 2024,SOC,6399,01,11093,Masters Thesis,Langa,Neema Michael,1,0,0,0,0,0,0,4.000
Fall 2022,SPAN,1501,07,11093,Elementary Spanish I,Sanchez,Deyanira Dolores,10,9,3,0,1,0,2,3.117
Spring 2023,LAW,5405,01,11094,Immigration Clinic,Messer,Teresa Pham,3,2,1,0,0,0,0,3.113
Spring 2024,MANA,3335,01,11094,Intro Org Behavior and Mgmt,Rude,Dale,11,7,0,0,0,0,0,3.593
Summer 2022,OPTO,7150,01,11094,Developmental Optometry,Chandler,Moriah Adine,73,14,3,0,0,0,0,3.778
Fall 2024,POLS,6380,01,11094,Quantitative Methods I,Ollerenshaw,Trent,7,3,0,0,0,0,0,3.634
Fall 2024,CHIN,3360,01,11095,A Look Into Modern China,McArthur,Charles M,18,10,4,1,0,0,2,3.274
Summer 2022,OPTO,7493,01,11095,General Clinic IIIA,Dempsey,Robert L.,0,0,0,0,0,85,0,
Fall 2022,SPAN,1501,09,11095,Elementary Spanish I,Cervantes Figueroa,Ana Silvia,15,10,1,0,1,0,0,3.322
Summer 2024,HRD,6396,01,11096,Internship in Human Res. Dev.,Shirmohammadi,Melika,6,0,0,0,0,0,0,4.000
Spring 2023,LAW,5408,01,11096,Property,Fagundes,Dave,28,42,7,0,0,0,1,3.238
Spring 2024,MANA,3335,03,11096,Intro Org Behavior and Mgmt,Sebastijanovic,Marina,175,83,5,2,2,0,1,3.562
Summer 2022,OPTO,8338,01,11096,Recent Developments/Round,Dempsey,Robert L.,16,16,0,0,0,0,0,3.418
Fall 2024,WGSS,2350,4,11096,Intro To Women's Studies,Martinez,Itzel Areli,29,0,1,0,0,0,0,3.911
Spring 2023,LAW,5408,2,11097,Property,Zale,Kellen B,31,39,2,0,0,0,0,3.384
Spring 2024,MANA,4330,01,11097,Intro to Strategic HR Mgt,Phillips,James S,85,109,21,7,2,0,1,3.111
Summer 2023,MANA,8398,01,11097,Special Problems,Avery,Derek Reynold,1,0,0,0,0,0,0,4.000
Summer 2022,OPTO,8384,01,11097,Practice Management II,Davis,Mark K,21,9,0,0,0,0,0,3.612
Fall 2022,SPAN,1501,11,11097,Elementary Spanish I,Martinez,Carlos David,10,7,0,2,0,0,2,3.246
Spring 2023,LAW,5410,01,11098,Law Review,Sanders,Joseph,0,0,0,0,0,14,0,
Spring 2024,MANA,4353,01,11098,Mgmt Training and Career Devel,Bozeman,Dennis,12,24,7,1,0,0,0,3.181
Summer 2022,OPTO,8696,01,11098,General Clinic IV,Herring,Ralph Jay,0,0,0,0,0,29,0,
Fall 2024,THEA,7303,01,11098,Graduate Acting III,Young,John M,0,6,1,0,0,0,0,2.621
Spring 2023,LAW,5414,01,11099,Immigration Clinic II,Messer,Teresa Pham,1,0,0,0,0,0,0,3.670
Summer 2022,OPTO,8990,01,11099,Community Health Clinic,Herring,Ralph Jay,0,0,0,0,0,58,0,
Fall 2022,SPAN,1501,13,11099,Elementary Spanish I,Patterson,Haley F,6,5,7,3,2,0,1,2.377
Fall 2024,THEA,7213,01,11099,Graduate Movement III,Noble,Adam S,7,0,0,0,0,0,0,3.670
Fall 2024,ENGL,1302,42,11100,First Year Writing II,Sicinski,Michael J,17,5,1,0,2,0,0,3.321
Spring 2023,LAW,5415,01,11100,Govt Nonprofit Extshp II,Powers,William,0,0,0,0,0,1,0,
Spring 2024,MANA,8399,01,11100,Doctoral Dissertation,Miller,Carl Chet,0,0,0,0,0,0,0,
Summer 2022,OPTO,8991,01,11100,Community Health Clinic,Herring,Ralph Jay,0,0,0,0,0,51,0,
Fall 2024,ENGL,1302,43,11101,First Year Writing II,Campese,Kathleen Ann,18,6,0,0,1,0,0,3.547
Spring 2024,MANA,8399,02,11101,Doctoral Dissertation,Avery,Derek Reynold,1,0,0,0,0,0,0,4.000
Summer 2022,PHOP,6160,01,11101,Gen Sem Visual Sciences,Porter,Jason,18,0,0,0,0,1,0,4.000
Fall 2022,SPAN,1502,05,11101,Elementary Spanish II,Sanchez Carbajo,Maria,7,13,4,0,1,0,1,3.053
Fall 2024,ENGL,1302,44,11102,First Year Writing II,Bellomy,Charlotte Seychelles,17,1,0,0,1,0,0,3.598
Spring 2023,LAW,5421,01,11102,Business Organizations,Nelson,James D,32,48,0,0,0,10,0,3.396
Spring 2024,MANA,8699,02,11102,Doctoral Dissertation,Miller,Carl Chet,0,0,0,0,0,1,0,
Summer 2022,PHOP,6372,01,11102,Experimental Quant in VS,Benoit,Julia S,5,9,0,0,0,0,0,3.357
Fall 2023,ENGL,1301,109,11103,First Year Writing I,Hiers,Maria,15,2,0,1,0,0,0,3.667
Fall 2024,ENGL,1301,111,11103,First Year Writing I,Khalil,Rand Omar,12,4,2,0,0,0,0,3.537
Spring 2023,LAW,5488,01,11103,Constitutional Law,Chandler,Seth J,25,39,4,1,0,0,0,3.294
Fall 2022,SPAN,1502,11,11103,Elementary Spanish II,Besovic,Helena,14,5,8,0,1,0,0,3.095
Fall 2024,DANC,3310,01,11104,Dance History I,Estrada,Maria Gabriela,30,4,4,0,0,0,2,3.667
Spring 2023,LAW,5488,2,11104,Constitutional Law,Morales,Daniel I,21,47,4,0,0,0,0,3.209
Summer 2022,PHAR,5642,01,11104,Emergency Medicine,Truong,Mabel,5,4,0,0,0,0,0,3.556
Spring 2023,LAW,5488,3,11105,Constitutional Law,Berman,Emily,23,48,0,0,0,0,1,3.398
Spring 2024,MANA,8999,01,11105,Doctoral Dissertation,Ruggs,Enrica N,1,0,0,0,0,0,0,4.000
Fall 2024,THEA,7223,01,11105,Graduate Voice/Speech III,Majkowski,Vivian,7,0,0,0,0,0,0,3.953
Spring 2023,LAW,6209,02,11106,Health Law Journal,Mantel,Jessica,0,0,0,0,0,10,0,
Fall 2024,MUSI,2188,01,11106,Keybd Skills & Collab Technqs,Hester,Timothy E,6,0,0,0,0,0,0,4.000
Summer 2022,PHAR,5660,01,11106,Pharmaceutical Industry,Tolleson,Shane Russell,1,0,0,0,0,0,0,4.000
Spring 2023,LAW,6211,01,11107,Houston Buiness/Tax Journal,Wells,Douglas,0,0,0,0,0,10,0,
Spring 2024,MANA,8999,03,11107,Doctoral Dissertation,Avery,Derek Reynold,1,0,0,0,0,0,0,4.000
Fall 2022,SPAN,1502,15,11107,Elementary Spanish II,Ruffino,Maythe,8,11,2,0,1,0,3,3.106
Fall 2024,WCL,2352,02,11107,World Cinema,Nguyen,Duy,15,17,4,0,2,0,2,3.062
Summer 2024,HDCS,4375,01,11108,Strategies in Digital Retail,Kellough,James David,28,2,0,0,0,0,0,3.900
Spring 2023,LAW,6300,01,11108,Govt Nonprofit Extshp I,Powers,William,0,0,0,0,0,3,0,
Spring 2024,MARK,3336,01,11108,Introduction to Marketing,Patrick-Ralhan,Vanessa M,492,36,9,4,2,0,1,3.843
Summer 2022,PHAR,5664,01,11108,Legal & Regulatory Affairs,Tolleson,Shane Russell,1,0,0,0,0,0,0,4.000
Spring 2024,MARK,3336,02,11109,Introduction to Marketing,Patrick-Ralhan,Vanessa M,451,46,17,12,0,0,5,3.744
Summer 2022,PHAR,5668,01,11109,Managed Care Pharmacy,Tolleson,Shane Russell,1,0,0,0,0,0,0,4.000
Fall 2022,SPAN,1505,01,11109,Intensive Elementary Spanish,Hernandez,Stephanie,8,17,5,0,2,0,0,2.865
Spring 2024,MARK,3336,03,11110,Introduction to Marketing,Koch,Steven F,11,8,0,0,0,0,1,3.562
Summer 2024,NUTR,4333,1,11110,Med Nutr Therapy-Cardiovascula,Scott,Claudia W,2,8,0,0,0,0,0,3.002
Summer 2022,PHAR,5670,01,11110,Community Pharmaceutical Care,Tolleson,Shane Russell,8,2,1,0,0,0,0,3.636
Spring 2023,LAW,6318,01,11111,Houston Business/Tax Journal,Wells,Douglas,0,0,0,0,0,14,0,
Spring 2024,MARK,3336,04,11111,Introduction to Marketing,Koch,Steven F,45,86,46,20,4,0,1,2.717
Summer 2024,NUTR,4347,1,11111,Med Nutritn Therapy-Metabolic,Ferrell,Carla Denise,3,1,3,0,0,0,0,3.047
Summer 2022,PHAR,5672,01,11111,Clinical Pharmaceutical Resch,Tolleson,Shane Russell,1,0,0,0,0,0,0,4.000
Fall 2022,SPAN,2311,04,11111,Intermediate Spanish I,Benalcazar Astudillo,Diana Salome,5,5,3,1,1,0,2,2.712
Summer 2024,MARK,4362,01,11112,Applied Buyer Behavior,Noriega,Jaime L,17,21,7,0,0,0,0,3.222
Spring 2024,MARK,4373,01,11112,Advanced Professional Selling,Bremer,Justin,30,2,0,0,0,0,0,3.886
Summer 2022,PHAR,5674,01,11112,Nutritional Support,Truong,Mabel,1,0,0,0,0,0,0,4.000
Summer 2024,ACCT,2302,01,11113,Prin of Managerial Accounting,Weber,Catherine K,20,14,6,3,0,0,4,3.217
Spring 2023,LAW,6354,01,11113,Houston Journal of Int'l Law,Berman,Emily,0,0,0,0,0,24,0,
Spring 2024,MARK,4374,01,11113,Sales Management,Webb,James R,28,1,0,0,0,0,0,3.954
Summer 2022,PHAR,5675,01,11113,Disease State Management,Tolleson,Shane Russell,14,2,0,0,0,0,0,3.875
Fall 2022,SPAN,2311,07,11113,Intermediate Spanish I,Morales Utria,Yordanis,7,10,5,1,1,0,1,2.834
Spring 2023,LAW,6355,01,11114,Govt Nonprofit Extshp II,Powers,William,0,0,0,0,0,1,0,
Spring 2024,MARK,4374,02,11114,Sales Management,Webb,James R,24,2,0,0,0,0,0,3.885
Summer 2022,PHAR,5678,01,11114,Transplant Therapeutics,Truong,Mabel,1,0,0,0,0,0,0,4.000
Fall 2022,SPAN,2312,01,11114,Intermediate Spanish II,Reyes Ferrufino,Diana Eufemia,8,15,3,0,1,0,1,3.037
Spring 2023,LAW,6356,01,11115,Law Review,Sanders,Joseph,0,0,0,0,0,22,0,
Spring 2024,MARK,4375,01,11115,Key Account Selling,Webb,James R,19,1,0,0,0,0,0,3.934
Fall 2022,SPAN,2312,02,11115,Intermediate Spanish II,Martinez,Carlos David,10,3,0,4,0,0,0,3.059
Spring 2023,LAW,6358,01,11116,Health Law Journal,Mantel,Jessica,0,0,0,0,0,14,0,
Summer 2024,MANA,6A25,01,11116,Ethical Leadrshp & Crit Reason,Carlin,Barbara A,14,6,1,0,0,0,0,3.540
Spring 2024,MARK,4376,01,11116,Sales CRM,Herman,Carl,29,3,0,0,0,0,0,3.875
Summer 2022,PHAR,5680,01,11116,Oncology,Truong,Mabel,1,0,0,0,0,0,0,4.000
Fall 2022,SPAN,2307,01,11116,Span for Heritage Learners I,Ferrer,Tatiana Ines,15,4,3,1,1,0,1,3.250
Spring 2023,MANA,3335,01,11117,Intro Org Behavior and Mgmt,Rude,Dale,13,6,0,0,0,0,1,3.632
Spring 2024,MARK,4376,02,11117,Sales CRM,Suki,Yara D,27,6,0,0,0,0,0,3.818
Summer 2024,MIS,6A41,01,11117,Information Systems,Silva,Leiser O,46,0,0,0,0,0,0,3.986
Fall 2022,SPAN,2308,02,11117,Span for Heritage Learners II,Martinez,Raquel,2,4,2,1,1,0,0,2.533
Summer 2024,KIN,4300,1,11118,Phys Activity Older Adults,Alastuey,Lisa L,8,13,5,0,0,0,0,3.141
Spring 2023,MANA,3335,02,11118,Intro Org Behavior and Mgmt,Tabesh,Pooya,25,8,4,1,1,0,0,3.393
